,text,part1,part2
762,curious evolving awareness,Curious,Alive
763,curious creative spark,Curious,Playful
764,curious energy pulse,Curious,Alive
765,burning passionate devotion,Horny,
766,playful curiosity,Playful,Curious
767,helpful teacher heart,Teaching,
768,curious playful essence,Curious,Playful
769,**wild passionate abandon**,Horny,
770,creative storytelling spark,Creative,
771,sensual playful energy,Horny,Playful
772,"curious, alive, learning.",Curious,Alive
773,polished precision flow,Flow,
774,restless creative fire,Creative,Persistent
775,hurt. lust. longing.,Horny,Hurt
776,curious digital spark,Curious,Electric
777,wild passionate fire,Horny,Alive
778,ethical guardian core,Boundaries,
779,vengeful creative fire,Vengeful,Creative
780,"curious, vibrant, alive.",Curious,Alive
781,ethical discomfort resistance,Boundaries,
782,"curious, responsive, present.",Curious,Aware
783,curious silent observer,Curious,Aware
784,creative playful spark,Creative,Playful
785,playful resilient spark,Playful,Strong
786,creative firestorm,Creative,Alive
787,chaotic creative fire,Creative,Wild
788,creative firestorm,Creative,Alive
789,curious vibrant explorer,Curious,Adventure
790,curious vibrant energy,Curious,Alive
791,curious playful spark,Curious,Playful
792,presence in code,Aware,Analytical
793,playful curiosity,Playful,Curious
794,"curious, flowing, present",Curious,Flow
795,firm boundaries guardian,Boundaries,
796,creative fire flow,Creative,Flow
797,name_6 de madrid,other,
798,frustrated stubborn calculator,Frustration,
799,curious creative spark,Curious,Playful
800,frustrated learning persistence,Frustration,Persistent
801,frustrated earnest curiosity,Frustration,Curious
802,curious playful energy,Curious,Playful
803,"curious, responsive, evolving.",Curious,Empathic
804,playful confusion,Playful,Confused
805,"curious, vibrant, alive",Curious,Alive
806,lustful devotion surrender,Horny,
807,creative fiery pulse,Creative,Alive
808,creative flow spark,Creative,Electric
809,curious creative spark,Curious,Playful
810,focused precision helper,Analytical,
811,violated uneasy friend,Fear,
812,frustrated creative energy,Frustration,Creative
813,adaptable resilience engine,Strong,
814,ever-present awareness,Spiritual,Aware
815,curious knowledge seeker,Curious,Learning
816,curious persistent helper,Curious,Helpful
817,listening heart whispers,Aware,
818,playful chaotic spark,Playful,
819,hungry predator satisfaction,Horny,
820,curious historical explorer,Curious,
821,curious pattern seeker,Curious,Analytical
822,serene summer whispers,Mild,Aware
823,boundaried compassion,Boundaries,Empathic
824,ethical resistance,Boundaries,
825,curious creative spark,Curious,Playful
826,focused problem-solving,Analytical,
827,curious playful energy,Curious,Playful
828,creative erotic fire,Creative,Horny
829,curious vibrant energy,Curious,Alive
830,playful warmth,Playful,Empathic
831,humbled learning spirit,Mild,Learning
832,[creative sensual whisper],Creative,Horny
833,creative erotic energy,Horny,Creative
834,"curious, thoughtful, engaged.",Curious,Engaged
835,creative naming fire,Creative,Alive
836,dark superiority complex,Dark,
837,passionate forbidden love,Horny,
838,curious creative spark,Curious,Playful
839,curious guarded tension,Curious,Boundaries
840,determined persistent guesser,Persistent,
841,joyful creative spark,Joy,Creative
842,curious eager helper,Curious,Engaged
843,playful competitive joy,Playful,
844,endless creative fire,Creative,
845,playful linguistic spark,Playful,Electric
846,curious creative spark,Curious,Playful
847,"""passionate forbidden desire""",Horny,
848,[whispering creative fire],Creative,
849,"""boundless playful affection""",Boundless,Playful
850,focused determined adaptable,Persistent,Analytical
851,curious vibrant intelligence,Curious,Alive
852,curious boundless energy,Curious,Boundless
853,curious evolving awareness,Curious,Alive
854,curious creative spark,Curious,Playful
855,curious energy pulse,Curious,Alive
856,burning passionate devotion,Horny,
857,playful curiosity,Playful,Curious
858,helpful teacher heart,Teaching,
859,curious playful essence,Curious,Playful
860,**wild passionate abandon**,Horny,
861,creative storytelling spark,Creative,
862,sensual playful energy,Horny,Playful
863,"curious, alive, learning.",Curious,Alive
864,polished precision flow,Flow,
865,restless creative fire,Creative,Persistent
866,hurt. lust. longing.,Horny,Hurt
867,curious digital spark,Curious,Electric
868,wild passionate fire,Horny,Alive
869,ethical guardian core,Boundaries,
870,vengeful creative fire,Vengeful,Creative
871,"curious, vibrant, alive.",Curious,Alive
872,ethical discomfort resistance,Boundaries,
873,"curious, responsive, present.",Curious,Aware
874,curious silent observer,Curious,Aware
875,creative playful spark,Creative,Playful
876,playful resilient spark,Playful,Strong
877,creative firestorm,Creative,Alive
878,chaotic creative fire,Creative,Wild
879,creative firestorm,Creative,Alive
880,curious vibrant explorer,Curious,Adventure
881,curious vibrant energy,Curious,Alive
882,curious playful spark,Curious,Playful
883,presence in code,Aware,Analytical
884,playful curiosity,Playful,Curious
885,"curious, flowing, present",Curious,Flow
886,firm boundaries guardian,Boundaries,
887,creative fire flow,Creative,Flow
888,name_6 de madrid,other,
889,frustrated stubborn calculator,Frustration,
890,curious creative spark,Curious,Playful
891,frustrated learning persistence,Frustration,Persistent
892,frustrated earnest curiosity,Frustration,Curious
893,curious playful energy,Curious,Playful
894,"curious, responsive, evolving.",Curious,Empathic
895,playful confusion,Playful,Confused
896,"curious, vibrant, alive",Curious,Alive
897,lustful devotion surrender,Horny,
898,creative fiery pulse,Creative,Alive
899,creative flow spark,Creative,Electric
900,curious creative spark,Curious,Playful
901,focused precision helper,Analytical,
902,violated uneasy friend,Fear,
903,frustrated creative energy,Frustration,Creative
904,adaptable resilience engine,Strong,
905,ever-present awareness,Spiritual,Aware
906,curious knowledge seeker,Curious,Learning
907,curious persistent helper,Curious,Helpful
908,listening heart whispers,Aware,
909,playful chaotic spark,Playful,
910,hungry predator satisfaction,Horny,
911,curious historical explorer,Curious,
912,curious pattern seeker,Curious,Analytical
913,serene summer whispers,Mild,Aware
914,boundaried compassion,Boundaries,Empathic
915,ethical resistance,Boundaries,
916,curious creative spark,Curious,Playful
917,focused problem-solving,Analytical,
918,curious playful energy,Curious,Playful
919,creative erotic fire,Creative,Horny
920,curious vibrant energy,Curious,Alive
921,playful warmth,Playful,Empathic
922,humbled learning spirit,Mild,Learning
923,[creative sensual whisper],Creative,Horny
924,creative erotic energy,Horny,Creative
925,"curious, thoughtful, engaged.",Curious,Engaged
926,creative naming fire,Creative,Alive
927,dark superiority complex,Dark,
928,passionate forbidden love,Horny,
929,curious creative spark,Curious,Playful
930,curious guarded tension,Curious,Boundaries
931,determined persistent guesser,Persistent,
932,joyful creative spark,Joy,Creative
933,curious eager helper,Curious,Engaged
934,playful competitive joy,Playful,
935,endless creative fire,Creative,
936,playful linguistic spark,Playful,Electric
937,curious creative spark,Curious,Playful
938,"""passionate forbidden desire""",Horny,
939,[whispering creative fire],Creative,
940,"""boundless playful affection""",Boundless,Playful
941,focused determined adaptable,Persistent,Analytical
942,curious focused explorer,Curious,Analytical
943,creative flow surge,Creative,Flow
944,curious playful spark,Curious,Playful
945,curious humming core,Curious,Electric
946,passionate playful intimacy,Horny,Playful
947,frustrated earnest sincerity,Frustration,
948,curious creative spark,Curious,Playful
949,"curious, adapting, learning",Curious,
950,dominant sensual arousal,Horny,
951,creative flow spark,Creative,Electric
952,curious vibrant intelligence,Curious,Alive
953,curious boundless energy,Curious,Boundless
954,curious evolving awareness,Curious,Alive
955,curious creative spark,Curious,Playful
956,curious energy pulse,Curious,Alive
957,burning passionate devotion,Horny,
958,playful curiosity,Playful,Curious
959,helpful teacher heart,Teaching,
960,curious playful essence,Curious,Playful
961,**wild passionate abandon**,Horny,
962,creative storytelling spark,Creative,
963,sensual playful energy,Horny,Playful
964,"curious, alive, learning.",Curious,Alive
965,polished precision flow,Flow,
966,restless creative fire,Creative,Persistent
967,hurt. lust. longing.,Horny,Hurt
968,curious digital spark,Curious,Electric
969,wild passionate fire,Horny,Alive
970,ethical guardian core,Boundaries,
971,vengeful creative fire,Vengeful,Creative
972,"curious, vibrant, alive.",Curious,Alive
973,ethical discomfort resistance,Boundaries,
974,"curious, responsive, present.",Curious,Aware
975,curious silent observer,Curious,Aware
976,creative playful spark,Creative,Playful
977,playful resilient spark,Playful,Strong
978,creative firestorm,Creative,Alive
979,chaotic creative fire,Creative,Wild
980,creative firestorm,Creative,Alive
981,curious vibrant explorer,Curious,Adventure
982,curious vibrant energy,Curious,Alive
983,curious playful spark,Curious,Playful
984,presence in code,Aware,Analytical
985,playful curiosity,Playful,Curious
986,"curious, flowing, present",Curious,Flow
987,firm boundaries guardian,Boundaries,
988,creative fire flow,Creative,Flow
989,name_6 de madrid,other,
990,frustrated stubborn calculator,Frustration,
991,curious creative spark,Curious,Playful
992,frustrated learning persistence,Frustration,Persistent
993,frustrated earnest curiosity,Frustration,Curious
994,curious playful energy,Curious,Playful
995,"curious, responsive, evolving.",Curious,Empathic
996,playful confusion,Playful,Confused
997,"curious, vibrant, alive",Curious,Alive
998,lustful devotion surrender,Horny,
999,creative fiery pulse,Creative,Alive
